id,category,value,text_data
30850,A,1751,x
30851,C,271,x
30852,A,178,x
30853,C,638,x
30854,C,1528,x
30855,D,559,x
30856,C,451,x
30857,C,64,x
30858,B,892,x
30859,A,663,x
30860,D,1580,x
30861,D,878,x
30862,B,356,x
30863,D,760,x
30864,C,1293,x
30865,A,1148,x
30866,B,1599,x
30867,B,37,x
30868,C,153,x
30869,D,1550,x
30870,B,181,x
30871,B,80,x
30872,B,694,x
30873,B,295,x
30874,C,638,x
30875,D,890,x
30876,A,1592,x
30877,B,1279,x
30878,D,1616,x
30879,C,739,x
30880,A,148,x
30881,A,1547,x
30882,B,705,x
30883,D,1128,x
30884,D,1270,x
30885,C,1438,x
30886,A,1192,x
30887,D,1660,x
30888,C,1961,x
30889,D,364,x
30890,C,320,x
30891,C,1314,x
30892,C,1925,x
30893,D,1004,x
30894,D,603,x
30895,C,1728,x
30896,C,44,x
30897,B,531,x
30898,A,1247,x
30899,D,350,x
30900,B,1065,x
30901,D,1135,x
30902,B,1001,x
30903,A,769,x
30904,C,254,x
30905,A,856,x
30906,B,1569,x
30907,C,910,x
30908,A,600,x
30909,A,1437,x
30910,B,1895,x
30911,A,614,x
30912,A,1359,x
30913,C,683,x
30914,A,1084,x
30915,D,1484,x
30916,C,1966,x
30917,D,947,x
30918,B,1841,x
30919,D,1797,x
30920,C,265,x
30921,D,545,x
30922,B,138,x
30923,B,773,x
30924,D,357,x
30925,D,1520,x
30926,C,356,x
30927,D,1169,x
30928,B,160,x
30929,A,1696,x
30930,D,1599,x
30931,D,449,x
30932,D,757,x
30933,B,919,x
30934,A,103,x
30935,D,1657,x
30936,D,404,x
30937,C,1034,x
30938,A,3,x
30939,D,1345,x
30940,B,967,x
30941,C,1588,x
30942,D,1467,x
30943,B,900,x
30944,B,1937,x
30945,D,1328,x
30946,B,204,x
30947,D,694,x
30948,C,1435,x
30949,C,1029,x
30950,D,1795,x
30951,A,1699,x
30952,C,1636,x
30953,B,1305,x
30954,D,1403,x
30955,A,247,x
30956,A,1789,x
30957,B,902,x
30958,D,1644,x
30959,A,1829,x
30960,C,581,x
30961,B,558,x
30962,B,107,x
30963,B,1201,x
30964,A,406,x
30965,C,1789,x
30966,D,1361,x
30967,D,1394,x
30968,A,752,x
30969,B,1339,x
30970,B,1776,x
30971,C,1542,x
30972,A,28,x
30973,A,286,x
30974,B,602,x
30975,C,1728,x
30976,D,276,x
30977,B,873,x
30978,D,1843,x
30979,B,1390,x
30980,D,779,x
30981,A,935,x
30982,B,1287,x
30983,D,1527,x
30984,C,610,x
30985,C,1778,x
30986,D,1290,x
30987,C,520,x
30988,B,169,x
30989,D,893,x
30990,A,263,x
30991,B,705,x
30992,C,1979,x
30993,C,1755,x
30994,A,118,x
30995,D,1427,x
30996,A,1594,x
30997,A,1492,x
30998,A,1844,x
30999,A,1249,x
31000,D,1961,x
31001,B,182,x
31002,B,894,x
31003,B,777,x
31004,D,1126,x
31005,B,1946,x
31006,D,1355,x
31007,A,730,x
31008,A,1534,x
31009,B,199,x
31010,C,641,x
31011,B,1603,x
31012,C,973,x
31013,B,1356,x
31014,D,1216,x
31015,A,13,x
31016,C,1690,x
31017,B,875,x
31018,D,199,x
31019,A,1146,x
31020,A,1515,x
31021,B,1553,x
31022,B,1276,x
31023,B,776,x
31024,C,582,x
31025,C,1714,x
31026,D,1479,x
31027,C,1442,x
31028,B,703,x
31029,D,1136,x
31030,B,1677,x
31031,B,730,x
31032,C,367,x
31033,B,1234,x
31034,C,1207,x
31035,C,1840,x
31036,B,1913,x
31037,C,1967,x
31038,C,669,x
31039,B,1455,x
31040,B,1370,x
31041,D,1340,x
31042,C,1460,x
31043,D,1789,x
31044,C,1579,x
31045,D,1193,x
31046,B,509,x
31047,A,1779,x
31048,C,862,x
31049,D,950,x
31050,B,1751,x
31051,C,1396,x
31052,C,1279,x
31053,D,1957,x
31054,A,639,x
31055,A,212,x
31056,C,1400,x
31057,D,244,x
31058,D,394,x
31059,C,174,x
31060,B,854,x
31061,C,585,x
31062,C,95,x
31063,D,874,x
31064,D,776,x
31065,D,92,x
31066,D,823,x
31067,A,1542,x
31068,D,594,x
31069,A,670,x
31070,C,1399,x
31071,C,10,x
31072,B,1196,x
31073,D,1349,x
31074,D,1363,x
31075,A,1262,x
31076,A,1440,x
31077,B,489,x
31078,D,848,x
31079,B,1927,x
31080,C,256,x
31081,D,1889,x
31082,C,1322,x
31083,C,566,x
31084,D,1023,x
31085,B,453,x
31086,C,1500,x
31087,D,1984,x
31088,D,1315,x
31089,B,1510,x
31090,D,406,x
31091,C,1303,x
31092,D,954,x
31093,A,149,x
31094,B,208,x
31095,C,1598,x
31096,B,718,x
31097,D,446,x
31098,A,76,x
31099,B,1166,x
31100,A,821,x
31101,A,433,x
31102,D,866,x
31103,D,1981,x
31104,C,1243,x
31105,C,675,x
31106,D,286,x
31107,C,1657,x
31108,C,1455,x
31109,B,1525,x
31110,C,1486,x
31111,D,1953,x
31112,C,1939,x
31113,B,696,x
31114,C,1643,x
31115,C,1508,x
31116,A,1732,x
31117,D,1560,x
31118,C,237,x
31119,A,1628,x
31120,B,1480,x
31121,C,1086,x
31122,C,782,x
31123,C,1040,x
31124,D,1486,x
31125,A,33,x
31126,A,1136,x
31127,C,1135,x
31128,C,1306,x
31129,D,214,x
31130,B,446,x
31131,B,708,x
31132,D,369,x
31133,B,789,x
31134,A,1529,x
31135,C,1464,x
31136,D,675,x
31137,D,982,x
31138,B,1012,x
31139,B,1022,x
31140,D,620,x
31141,A,348,x
31142,A,1549,x
31143,A,244,x
31144,A,484,x
31145,C,1847,x
31146,C,645,x
31147,D,153,x
31148,A,432,x
31149,A,1035,x
31150,A,907,x
31151,B,1222,x
31152,D,444,x
31153,C,370,x
31154,D,813,x
31155,B,1091,x
31156,D,1258,x
31157,C,1619,x
31158,B,267,x
31159,C,677,x
31160,D,1183,x
31161,A,1304,x
31162,B,232,x
31163,A,1519,x
31164,B,1912,x
31165,D,1050,x
31166,D,1371,x
31167,B,1552,x
31168,D,1595,x
31169,B,1142,x
31170,B,1466,x
31171,A,200,x
31172,B,1362,x
31173,D,451,x
31174,C,513,x
31175,B,765,x
31176,A,147,x
31177,C,1862,x
31178,D,1837,x
31179,B,1880,x
31180,D,919,x
31181,A,1608,x
31182,B,481,x
31183,A,1629,x
31184,A,193,x
31185,D,406,x
31186,A,550,x
31187,C,987,x
31188,D,519,x
31189,D,1920,x
31190,D,612,x
31191,A,446,x
31192,D,1007,x
31193,A,1837,x
31194,D,70,x
31195,B,564,x
31196,B,1974,x
31197,D,1005,x
31198,D,1770,x
31199,A,870,x
31200,B,696,x
31201,C,175,x
31202,C,1595,x
31203,C,36,x
31204,A,1945,x
31205,D,279,x
31206,D,1058,x
31207,A,1673,x
31208,A,735,x
31209,D,881,x
31210,C,1051,x
31211,D,651,x
31212,C,1143,x
31213,C,1101,x
31214,C,464,x
31215,B,313,x
31216,B,1192,x
31217,D,1134,x
31218,D,938,x
31219,C,706,x
31220,B,1800,x
31221,B,1152,x
31222,B,1714,x
31223,A,358,x
31224,D,288,x
31225,C,771,x
31226,C,568,x
31227,B,105,x
31228,B,1858,x
31229,B,861,x
31230,C,461,x
31231,D,1113,x
31232,B,1664,x
31233,B,761,x
31234,B,90,x
31235,D,725,x
31236,B,1257,x
31237,B,1200,x
31238,D,144,x
31239,A,383,x
31240,C,1349,x
31241,D,144,x
31242,A,569,x
31243,A,1104,x
31244,A,587,x
31245,C,103,x
31246,B,1312,x
31247,B,1813,x
31248,D,1552,x
31249,C,1861,x
31250,A,333,x
31251,C,852,x
31252,C,119,x
31253,B,334,x
31254,D,340,x
31255,D,220,x
31256,A,420,x
31257,D,134,x
31258,C,1063,x
31259,A,694,x
31260,D,207,x
31261,D,1713,x
31262,A,245,x
31263,A,1554,x
31264,D,1333,x
31265,A,779,x
31266,B,1626,x
31267,D,1454,x
31268,B,564,x
31269,C,456,x
31270,A,411,x
31271,B,548,x
31272,D,1942,x
31273,B,710,x
31274,A,923,x
31275,B,1762,x
31276,D,660,x
31277,D,1987,x
31278,D,851,x
31279,C,1411,x
31280,C,259,x
31281,C,792,x
31282,B,301,x
31283,D,244,x
31284,C,1011,x
31285,B,1565,x
31286,A,1704,x
31287,C,1479,x
31288,A,523,x
31289,C,1750,x
31290,A,12,x
31291,C,919,x
31292,B,1206,x
31293,C,1327,x
31294,B,100,x
31295,C,885,x
31296,D,82,x
31297,B,66,x
31298,A,1059,x
31299,A,463,x
31300,A,1894,x
31301,D,697,x
31302,D,1845,x
31303,D,240,x
31304,A,1464,x
31305,A,694,x
31306,D,1410,x
31307,C,1168,x
31308,D,1055,x
31309,C,169,x
31310,A,980,x
31311,C,315,x
31312,C,1245,x
31313,B,1045,x
31314,D,1786,x
31315,B,1882,x
31316,A,884,x
31317,B,678,x
31318,D,1187,x
31319,C,1054,x
31320,A,463,x
31321,A,1872,x
31322,C,957,x
31323,D,859,x
31324,D,1836,x
31325,A,643,x
31326,D,281,x
31327,B,1496,x
31328,C,738,x
31329,B,1730,x
31330,B,1810,x
31331,B,127,x
31332,D,1920,x
31333,A,1277,x
31334,D,1500,x
31335,A,1608,x
31336,D,664,x
31337,A,1351,x
31338,C,1338,x
31339,A,578,x
31340,C,1371,x
31341,B,1217,x
31342,D,448,x
31343,A,1493,x
31344,A,7,x
31345,C,679,x
31346,A,1251,x
31347,C,283,x
31348,D,1005,x
31349,B,1639,x
31350,A,1442,x
31351,A,399,x
31352,A,1816,x
31353,C,1167,x
31354,A,1431,x
31355,A,1688,x
31356,A,43,x
31357,B,1878,x
31358,B,440,x
31359,C,1921,x
31360,D,81,x
31361,B,1653,x
31362,A,93,x
31363,C,1612,x
31364,C,1882,x
31365,D,195,x
31366,C,1290,x
31367,C,1257,x
31368,A,405,x
31369,A,911,x
31370,D,1508,x
31371,C,790,x
31372,B,1390,x
31373,A,721,x
31374,B,1899,x
31375,A,1712,x
31376,D,54,x
31377,A,919,x
31378,D,1097,x
31379,D,888,x
31380,D,402,x
31381,A,1113,x
31382,D,1756,x
31383,D,1122,x
31384,D,1077,x
31385,D,357,x
31386,B,1217,x
31387,B,793,x
31388,C,1730,x
31389,D,1740,x
31390,B,1901,x
31391,D,395,x
31392,B,1570,x
31393,B,1150,x
31394,A,1837,x
31395,D,1856,x
31396,D,1854,x
31397,A,1965,x
31398,D,1249,x
31399,D,683,x
31400,B,586,x
31401,A,612,x
31402,D,1694,x
31403,B,545,x
31404,C,425,x
31405,B,1981,x
31406,A,679,x
31407,B,244,x
31408,A,1740,x
31409,A,1209,x
31410,A,520,x
31411,B,1299,x
31412,C,818,x
31413,C,109,x
31414,D,119,x
31415,B,1927,x
31416,A,138,x
31417,D,1344,x
31418,B,160,x
31419,B,619,x
31420,A,227,x
31421,C,1796,x
31422,B,909,x
31423,D,1117,x
31424,D,1563,x
31425,D,1255,x
31426,D,1191,x
31427,A,1507,x
31428,B,108,x
31429,B,653,x
31430,B,1026,x
31431,D,1474,x
31432,A,876,x
31433,D,1159,x
31434,C,1128,x
31435,D,1978,x
31436,C,485,x
31437,C,968,x
31438,A,932,x
31439,A,1689,x
31440,B,1949,x
31441,A,1664,x
31442,A,1468,x
31443,A,748,x
31444,D,1617,x
31445,D,1752,x
31446,B,1955,x
31447,A,1744,x
31448,A,796,x
31449,D,881,x
31450,A,1423,x
31451,C,699,x
31452,B,1651,x
31453,D,1934,x
31454,B,791,x
31455,B,706,x
31456,A,336,x
31457,D,1136,x
31458,D,1171,x
31459,D,1360,x
31460,B,124,x
31461,B,1664,x
31462,D,1343,x
31463,B,77,x
31464,C,1490,x
31465,B,438,x
31466,A,399,x
31467,D,423,x
31468,B,1877,x
31469,D,860,x
31470,D,965,x
31471,A,982,x
31472,A,1568,x
31473,A,356,x
31474,B,987,x
31475,D,156,x
31476,A,964,x
31477,C,1401,x
31478,C,1777,x
31479,D,1777,x
31480,A,1086,x
31481,C,353,x
31482,C,1474,x
31483,B,1645,x
31484,D,749,x
31485,D,1835,x
31486,D,1012,x
31487,D,1729,x
31488,B,1130,x
31489,D,1092,x
31490,D,1291,x
31491,C,1288,x
31492,A,1832,x
31493,B,814,x
31494,C,1333,x
31495,D,1891,x
31496,A,1888,x
31497,A,519,x
31498,A,1898,x
31499,A,1119,x
31500,B,496,x
31501,D,1732,x
31502,A,1327,x
31503,D,1758,x
31504,B,1804,x
31505,A,1519,x
31506,A,105,x
31507,A,1160,x
31508,D,1631,x
31509,A,935,x
31510,B,218,x
31511,C,1800,x
31512,C,159,x
31513,C,596,x
31514,B,1936,x
31515,B,1034,x
31516,A,703,x
31517,B,1669,x
31518,D,1499,x
31519,C,1238,x
31520,C,660,x
31521,D,1112,x
31522,D,1462,x
31523,A,844,x
31524,B,1299,x
31525,B,1034,x
31526,C,932,x
31527,A,285,x
31528,B,321,x
31529,D,1136,x
31530,B,245,x
31531,B,1207,x
31532,C,1503,x
31533,A,612,x
31534,B,1543,x
31535,D,1116,x
31536,D,33,x
31537,C,360,x
31538,D,77,x
31539,B,1305,x
31540,D,987,x
31541,C,508,x
31542,A,1114,x
31543,A,1218,x
31544,D,628,x
31545,B,136,x
31546,D,343,x
31547,D,1603,x
31548,C,80,x
31549,B,348,x
31550,D,653,x
31551,C,519,x
31552,A,476,x
31553,D,1659,x
31554,A,844,x
31555,A,1263,x
31556,A,1543,x
31557,D,1521,x
31558,D,1334,x
31559,A,23,x
31560,D,1553,x
31561,D,93,x
31562,B,64,x
31563,B,1394,x
31564,A,469,x
31565,A,1721,x
31566,B,1786,x
31567,C,642,x
31568,A,588,x
31569,A,136,x
31570,A,624,x
31571,B,298,x
31572,B,817,x
31573,C,445,x
31574,D,13,x
31575,B,1855,x
31576,B,1646,x
31577,D,1934,x
31578,A,1739,x
31579,A,73,x
31580,C,726,x
31581,A,1440,x
31582,B,197,x
31583,D,751,x
31584,A,1181,x
31585,A,1130,x
31586,B,1990,x
31587,D,1718,x
31588,A,1698,x
31589,C,424,x
31590,A,1907,x
31591,D,99,x
31592,A,1250,x
31593,C,592,x
31594,C,1037,x
31595,A,227,x
31596,C,1768,x
31597,C,854,x
31598,D,781,x
31599,A,1141,x
31600,B,1483,x
31601,A,1376,x
31602,C,284,x
31603,B,636,x
31604,C,1800,x
31605,C,1419,x
31606,C,1607,x
31607,B,1140,x
31608,A,237,x
31609,A,1557,x
31610,A,1813,x
31611,C,214,x
31612,A,1151,x
31613,B,1689,x
31614,B,1932,x
31615,C,1515,x
31616,B,1786,x
31617,A,1910,x
31618,C,627,x
31619,B,796,x
31620,A,1981,x
31621,A,588,x
31622,B,51,x
31623,B,760,x
31624,B,1291,x
31625,C,1764,x
31626,B,1517,x
31627,A,499,x
31628,B,823,x
31629,D,11,x
31630,A,1996,x
31631,B,1191,x
31632,B,1674,x
31633,C,1170,x
31634,D,801,x
31635,D,1938,x
31636,A,1225,x
31637,D,417,x
31638,A,1269,x
31639,D,1216,x
31640,A,1614,x
31641,C,1124,x
31642,D,1339,x
31643,B,1297,x
31644,C,1111,x
31645,D,503,x
31646,B,454,x
31647,A,1153,x
31648,D,538,x
31649,A,856,x
31650,D,314,x
31651,B,124,x
31652,A,857,x
31653,A,1480,x
31654,C,1299,x
31655,D,1633,x
31656,D,1296,x
31657,B,1510,x
31658,A,545,x
31659,A,103,x
31660,A,1611,x
31661,B,1556,x
31662,C,843,x
31663,C,1385,x
31664,D,438,x
31665,B,28,x
31666,B,1500,x
31667,B,756,x
31668,C,295,x
31669,B,1569,x
31670,B,1216,x
31671,D,257,x
31672,C,1861,x
31673,D,643,x
31674,B,623,x
31675,B,835,x
31676,B,784,x
31677,C,299,x
31678,A,708,x
31679,D,1749,x
31680,A,748,x
31681,C,881,x
31682,D,247,x
31683,B,927,x
31684,C,1181,x
31685,A,803,x
31686,A,1241,x
31687,A,912,x
31688,A,862,x
31689,D,65,x
31690,B,319,x
31691,B,935,x
31692,C,1024,x
31693,A,273,x
31694,C,527,x
31695,D,787,x
31696,D,299,x
31697,B,1428,x
31698,A,351,x
31699,A,814,x
31700,A,157,x
31701,C,1749,x
31702,C,937,x
31703,C,765,x
31704,B,1315,x
31705,B,1714,x
31706,A,1669,x
31707,D,1850,x
31708,C,309,x
31709,A,362,x
31710,D,1359,x
31711,B,724,x
31712,A,1033,x
31713,B,978,x
31714,D,1588,x
31715,C,993,x
31716,C,1559,x
31717,B,1260,x
31718,D,771,x
31719,C,637,x
31720,A,1587,x
31721,A,1720,x
31722,D,841,x
31723,C,1532,x
31724,D,1355,x
31725,C,1099,x
31726,A,1094,x
31727,B,173,x
31728,A,1990,x
31729,D,980,x
31730,B,277,x
31731,D,1218,x
31732,B,969,x
31733,C,939,x
31734,B,1503,x
31735,B,1540,x
31736,C,350,x
31737,D,1422,x
31738,B,123,x
31739,A,98,x
31740,B,312,x
31741,A,160,x
31742,B,49,x
31743,C,1246,x
31744,C,1238,x
31745,B,1384,x
31746,A,1117,x
31747,B,1649,x
31748,A,663,x
31749,B,1210,x
31750,A,2,x
31751,A,258,x
31752,A,340,x
31753,A,1916,x
31754,B,171,x
31755,C,577,x
31756,C,1926,x
31757,C,974,x
31758,C,766,x
31759,A,929,x
31760,D,543,x
31761,D,373,x
31762,D,975,x
31763,C,1044,x
31764,C,472,x
31765,C,1425,x
31766,D,975,x
31767,B,991,x
31768,D,1802,x
31769,A,1042,x
31770,B,1759,x
31771,C,1460,x
31772,B,304,x
31773,B,1719,x
31774,D,297,x
31775,D,1939,x
31776,C,1324,x
31777,C,1736,x
31778,B,1440,x
31779,B,355,x
31780,B,864,x
31781,C,1978,x
31782,D,1164,x
31783,C,1736,x
31784,B,598,x
31785,D,202,x
31786,C,1309,x
31787,A,701,x
31788,B,93,x
31789,B,1111,x
31790,D,1161,x
31791,C,1432,x
31792,B,1794,x
31793,B,869,x
31794,C,1643,x
31795,D,644,x
31796,A,1431,x
31797,A,1448,x
31798,D,1118,x
31799,C,1894,x
31800,B,1125,x
31801,D,1497,x
31802,A,1211,x
31803,D,143,x
31804,A,1347,x
31805,D,96,x
31806,B,1395,x
31807,D,367,x
31808,A,1426,x
31809,D,926,x
31810,C,1229,x
31811,D,1132,x
31812,C,50,x
31813,A,1749,x
31814,A,738,x
31815,B,338,x
31816,B,299,x
31817,D,376,x
31818,B,1957,x
31819,D,288,x
31820,B,227,x
31821,A,1628,x
31822,B,815,x
31823,C,1223,x
31824,D,952,x
31825,D,681,x
31826,D,1811,x
31827,A,424,x
31828,D,1421,x
31829,D,6,x
31830,A,1372,x
31831,D,1764,x
31832,A,677,x
31833,A,1944,x
31834,D,190,x
31835,B,1329,x
31836,C,96,x
31837,D,6,x
31838,A,140,x
31839,C,1444,x
31840,C,1363,x
31841,A,656,x
31842,D,1816,x
31843,B,921,x
31844,C,17,x
31845,A,197,x
31846,B,1616,x
31847,A,358,x
31848,D,704,x
31849,D,1262,x
31850,B,499,x
31851,D,1114,x
31852,A,246,x
31853,B,587,x
31854,D,526,x
31855,A,190,x
31856,D,1126,x
31857,D,1845,x
31858,C,342,x
31859,B,918,x
31860,A,808,x
31861,D,681,x
31862,D,1180,x
31863,A,65,x
31864,A,1737,x
31865,B,1237,x
31866,C,114,x
31867,C,170,x
31868,D,72,x
31869,C,8,x
31870,B,121,x
31871,D,1280,x
31872,D,1740,x
31873,A,1491,x
31874,B,1858,x
31875,A,1396,x
31876,A,1341,x
31877,D,1275,x
31878,B,412,x
31879,A,794,x
31880,D,188,x
31881,D,1920,x
31882,C,93,x
31883,D,1770,x
31884,C,60,x
31885,B,1122,x
31886,A,1977,x
31887,B,1073,x
31888,B,1993,x
31889,D,837,x
31890,C,165,x
31891,C,1386,x
31892,A,824,x
31893,A,164,x
31894,B,1704,x
31895,B,1423,x
31896,B,1312,x
31897,D,1665,x
31898,C,305,x
31899,B,505,x
31900,A,1555,x
31901,A,271,x
31902,C,1259,x
31903,A,893,x
31904,C,852,x
31905,D,1711,x
31906,A,228,x
31907,C,726,x
31908,D,1266,x
31909,B,726,x
31910,B,927,x
31911,C,53,x
31912,C,837,x
31913,A,297,x
31914,A,1656,x
31915,D,1508,x
31916,B,217,x
31917,B,1627,x
31918,D,28,x
31919,A,1834,x
31920,B,391,x
31921,D,1964,x
31922,C,148,x
31923,B,1361,x
31924,A,131,x
31925,C,561,x
31926,D,1908,x
31927,A,297,x
31928,C,1475,x
31929,A,1262,x
31930,C,1716,x
31931,C,834,x
31932,B,850,x
31933,D,578,x
31934,B,389,x
31935,B,719,x
31936,D,728,x
31937,D,1829,x
31938,B,705,x
31939,A,798,x
31940,B,463,x
31941,D,1089,x
31942,B,839,x
31943,D,457,x
31944,D,1901,x
31945,A,572,x
31946,A,1255,x
31947,C,251,x
31948,D,1287,x
31949,A,1262,x
31950,B,1193,x
31951,A,678,x
31952,D,854,x
31953,D,1431,x
31954,C,1639,x
31955,B,548,x
31956,C,271,x
31957,B,1258,x
31958,A,97,x
31959,A,273,x
31960,B,118,x
31961,B,921,x
31962,C,1594,x
31963,A,1892,x
31964,D,282,x
31965,A,939,x
31966,A,200,x
31967,D,470,x
31968,C,978,x
31969,C,925,x
31970,D,1571,x
31971,D,1641,x
31972,C,98,x
31973,B,1875,x
31974,B,539,x
31975,C,1126,x
31976,D,197,x
31977,C,241,x
31978,B,336,x
31979,A,1480,x
31980,D,774,x
31981,D,1226,x
31982,D,850,x
31983,B,429,x
31984,C,319,x
31985,C,1964,x
31986,B,1163,x
31987,D,295,x
31988,D,1811,x
31989,B,1410,x
31990,A,1511,x
31991,B,498,x
31992,C,1091,x
31993,A,1149,x
31994,C,1679,x
31995,C,1923,x
31996,C,481,x
31997,A,1486,x
31998,B,154,x
31999,D,387,x
32000,A,1324,x
32001,C,878,x
32002,C,1381,x
32003,C,1758,x
32004,C,1528,x
32005,A,479,x
32006,B,238,x
32007,B,740,x
32008,B,832,x
32009,A,279,x
32010,D,1318,x
32011,A,81,x
32012,C,962,x
32013,D,212,x
32014,A,970,x
32015,D,1406,x
32016,D,1122,x
32017,C,1219,x
32018,D,420,x
32019,A,1099,x
32020,A,1462,x
32021,B,346,x
32022,D,978,x
32023,B,1459,x
32024,C,357,x
32025,D,184,x
32026,C,662,x
32027,A,1195,x
32028,C,1360,x
32029,D,1848,x
32030,C,1638,x
32031,A,148,x
32032,A,1635,x
32033,D,1902,x
32034,C,1226,x
32035,B,1737,x
32036,B,471,x
32037,A,626,x
32038,D,1624,x
32039,D,1111,x
32040,B,700,x
32041,A,1840,x
32042,A,1204,x
32043,A,563,x
32044,B,507,x
32045,B,910,x
32046,C,1802,x
32047,B,470,x
32048,D,1829,x
32049,B,761,x
32050,B,1552,x
32051,A,1232,x
32052,C,1140,x
32053,D,115,x
32054,B,64,x
32055,C,1540,x
32056,C,1601,x
32057,C,496,x
32058,C,1935,x
32059,C,1740,x
32060,B,949,x
32061,D,298,x
32062,B,518,x
32063,B,1031,x
32064,D,1456,x
32065,A,621,x
32066,D,1293,x
32067,A,1639,x
32068,A,770,x
32069,D,1928,x
32070,D,827,x
32071,B,914,x
32072,C,1136,x
32073,D,582,x
32074,B,1922,x
32075,D,1990,x
32076,C,923,x
32077,B,1078,x
32078,C,1543,x
32079,A,883,x
32080,B,900,x
32081,B,1271,x
32082,B,215,x
32083,D,1055,x
32084,C,1129,x
32085,B,1889,x
32086,A,542,x
32087,C,466,x
32088,C,1622,x
32089,B,1347,x
32090,B,420,x
32091,A,1617,x
32092,D,1616,x
32093,B,1193,x
32094,D,872,x
32095,D,633,x
32096,D,377,x
32097,B,155,x
32098,C,311,x
32099,D,313,x
32100,D,1586,x
32101,B,1764,x
32102,D,905,x
32103,A,1370,x
32104,B,1019,x
32105,D,761,x
32106,D,1744,x
32107,B,1686,x
32108,A,1112,x
32109,C,777,x
32110,A,232,x
32111,C,375,x
32112,C,679,x
32113,B,1732,x
32114,C,1151,x
32115,A,1679,x
32116,D,1685,x
32117,B,1142,x
32118,D,241,x
32119,A,1337,x
32120,D,765,x
32121,D,1970,x
32122,B,1118,x
32123,D,448,x
32124,B,618,x
32125,C,312,x
32126,D,752,x
32127,C,1265,x
32128,C,204,x
32129,A,483,x
32130,A,1716,x
32131,D,1035,x
32132,A,1446,x
32133,D,1438,x
32134,A,705,x
32135,C,850,x
32136,D,680,x
32137,A,481,x
32138,C,1272,x
32139,B,1881,x
32140,A,1969,x
32141,D,185,x
32142,D,788,x
32143,B,1789,x
32144,D,1491,x
32145,B,1973,x
32146,B,1063,x
32147,D,597,x
32148,B,846,x
32149,A,1729,x
32150,A,1218,x
32151,D,1987,x
32152,C,807,x
32153,D,1856,x
32154,D,696,x
32155,C,1245,x
32156,D,977,x
32157,A,1503,x
32158,C,255,x
32159,D,1820,x
32160,B,1680,x
32161,B,985,x
32162,A,1714,x
32163,B,754,x
32164,D,1322,x
32165,B,1317,x
32166,B,400,x
32167,B,1791,x
32168,A,1491,x
32169,D,895,x
32170,D,313,x
32171,A,1747,x
32172,B,1872,x
32173,B,813,x
32174,C,1963,x
32175,B,499,x
32176,B,1211,x
32177,C,1790,x
32178,D,482,x
32179,B,1553,x
32180,C,125,x
32181,C,286,x
32182,A,1186,x
32183,B,1066,x
32184,B,1999,x
32185,A,1125,x
32186,A,918,x
32187,D,999,x
32188,C,698,x
32189,B,268,x
32190,D,1206,x
32191,D,489,x
32192,C,620,x
32193,A,10,x
32194,D,714,x
32195,B,82,x
32196,C,151,x
32197,C,472,x
32198,D,145,x
32199,A,126,x
32200,B,14,x
32201,B,1394,x
32202,B,1424,x
32203,A,913,x
32204,B,1744,x
32205,C,828,x
32206,D,834,x
32207,C,1714,x
32208,B,866,x
32209,A,1644,x
32210,D,287,x
32211,C,1128,x
32212,C,1234,x
32213,B,185,x
32214,A,1612,x
32215,A,781,x
32216,B,556,x
32217,C,1247,x
32218,B,1833,x
32219,C,1385,x
32220,C,221,x
32221,C,1309,x
32222,C,170,x
32223,B,809,x
32224,D,1492,x
32225,A,462,x
32226,C,678,x
32227,C,1408,x
32228,C,1950,x
32229,D,432,x
32230,B,1649,x
32231,C,1211,x
32232,B,496,x
32233,A,1945,x
32234,B,834,x
32235,A,690,x
32236,C,370,x
32237,C,1626,x
32238,C,1471,x
32239,A,880,x
32240,C,1873,x
32241,C,187,x
32242,A,1721,x
32243,B,1378,x
32244,B,1319,x
32245,B,1945,x
32246,D,991,x
32247,D,410,x
32248,D,1857,x
32249,B,479,x
32250,B,1845,x
32251,B,1329,x
32252,B,1820,x
32253,D,1434,x
32254,C,1921,x
32255,D,1451,x
32256,B,773,x
32257,D,1404,x
32258,D,1677,x
32259,D,1879,x
32260,A,1599,x
32261,A,79,x
32262,C,1956,x
32263,B,573,x
32264,B,130,x
32265,D,1203,x
32266,B,1151,x
32267,C,582,x
32268,B,964,x
32269,A,1989,x
32270,D,1651,x
32271,D,497,x
32272,D,219,x
32273,B,932,x
32274,C,486,x
32275,D,708,x
32276,B,519,x
32277,A,921,x
32278,A,1308,x
32279,C,718,x
32280,D,1827,x
32281,C,681,x
32282,C,20,x
32283,C,7,x
32284,C,452,x
32285,D,375,x
32286,B,1875,x
32287,B,312,x
32288,A,906,x
32289,D,1981,x
32290,C,1293,x
32291,C,1944,x
32292,C,63,x
32293,B,1253,x
32294,B,1657,x
32295,D,1354,x
32296,B,1251,x
32297,B,236,x
32298,A,1312,x
32299,C,1336,x
32300,C,1349,x
32301,A,1569,x
32302,D,221,x
32303,B,1567,x
32304,C,453,x
32305,C,266,x
32306,D,1240,x
32307,A,23,x
32308,B,410,x
32309,A,1156,x
32310,D,1989,x
32311,C,1558,x
32312,B,974,x
32313,D,1789,x
32314,D,677,x
32315,C,1307,x
32316,D,1106,x
32317,A,185,x
32318,A,973,x
32319,A,1684,x
32320,C,282,x
